Date,Sales
2022-01-01,2079
2022-01-02,1991
2022-01-03,2116
2022-01-04,2255
2022-01-05,1998
2022-01-06,2006
2022-01-07,2285
2022-01-08,2170
2022-01-09,1992
2022-01-10,2151
2022-01-11,2007
2022-01-12,2014
2022-01-13,2127
2022-01-14,1811
2022-01-15,1846
2022-01-16,2028
2022-01-17,1967
2022-01-18,2173
2022-01-19,1997
2022-01-20,1928
2022-01-21,2367
2022-01-22,2120
2022-01-23,2171
2022-01-24,1954
2022-01-25,2092
2022-01-26,2197
2022-01-27,2015
2022-01-28,2250
2022-01-29,2111
2022-01-30,2164
2022-01-31,2124
2022-02-01,2498
2022-02-02,2225
2022-02-03,2074
2022-02-04,2363
2022-02-05,2063
2022-02-06,2283
2022-02-07,1964
2022-02-08,2065
2022-02-09,2300
2022-02-10,2387
2022-02-11,2308
2022-02-12,2271
2022-02-13,2249
2022-02-14,2078
2022-02-15,2198
2022-02-16,2242
2022-02-17,2475
2022-02-18,2374
2022-02-19,2063
2022-02-20,2382
2022-02-21,2281
2022-02-22,2242
2022-02-23,2441
2022-02-24,2509
2022-02-25,2499
2022-02-26,2238
2022-02-27,2323
2022-02-28,2423
2022-03-01,2525
2022-03-02,2311
2022-03-03,2360
2022-03-04,2226
2022-03-05,2217
2022-03-06,2523
2022-03-07,2609
2022-03-08,2399
2022-03-09,2564
2022-03-10,2472
2022-03-11,2325
2022-03-12,2480
2022-03-13,2660
2022-03-14,2428
2022-03-15,2671
2022-03-16,2047
2022-03-17,2567
2022-03-18,2460
2022-03-19,2405
2022-03-20,2467
2022-03-21,2158
2022-03-22,2427
2022-03-23,2516
2022-03-24,2687
2022-03-25,2390
2022-03-26,2349
2022-03-27,2398
2022-03-28,2613
2022-03-29,2527
2022-03-30,2401
2022-03-31,2560
2022-04-01,2499
2022-04-02,2632
2022-04-03,2383
2022-04-04,2441
2022-04-05,2433
2022-04-06,2274
2022-04-07,2540
2022-04-08,2536
2022-04-09,2499
2022-04-10,2465
2022-04-11,2289
2022-04-12,2439
2022-04-13,2452
2022-04-14,2384
2022-04-15,2481
2022-04-16,2567
2022-04-17,2790
2022-04-18,2533
2022-04-19,2546
2022-04-20,2497
2022-04-21,2221
2022-04-22,2505
2022-04-23,2518
2022-04-24,2879
2022-04-25,2480
2022-04-26,2555
2022-04-27,2504
2022-04-28,2334
2022-04-29,2680
2022-04-30,2621
2022-05-01,2627
2022-05-02,2371
2022-05-03,2717
2022-05-04,2296
2022-05-05,2593
2022-05-06,2833
2022-05-07,2355
2022-05-08,2418
2022-05-09,2517
2022-05-10,2425
2022-05-11,2267
2022-05-12,2508
2022-05-13,2338
2022-05-14,2567
2022-05-15,2356
2022-05-16,2725
2022-05-17,2374
2022-05-18,2441
2022-05-19,2610
2022-05-20,2301
2022-05-21,2518
2022-05-22,2678
2022-05-23,2239
2022-05-24,2506
2022-05-25,2515
2022-05-26,2591
2022-05-27,2287
2022-05-28,2272
2022-05-29,2546
2022-05-30,2510
2022-05-31,2501
2022-06-01,2513
2022-06-02,2356
2022-06-03,2491
2022-06-04,2497
2022-06-05,2343
2022-06-06,2728
2022-06-07,2516
2022-06-08,2264
2022-06-09,2538
2022-06-10,2291
2022-06-11,2553
2022-06-12,2605
2022-06-13,2306
2022-06-14,2570
2022-06-15,2485
2022-06-16,2543
2022-06-17,2702
2022-06-18,2377
2022-06-19,2298
2022-06-20,2275
2022-06-21,2283
2022-06-22,2391
2022-06-23,2450
2022-06-24,2438
2022-06-25,2517
2022-06-26,2392
2022-06-27,2605
2022-06-28,2344
2022-06-29,2789
2022-06-30,2471
2022-07-01,2246
2022-07-02,2211
2022-07-03,2441
2022-07-04,2332
2022-07-05,2469
2022-07-06,2430
2022-07-07,2345
2022-07-08,2226
2022-07-09,2123
2022-07-10,2280
2022-07-11,2472
2022-07-12,2373
2022-07-13,2151
2022-07-14,2361
2022-07-15,2389
2022-07-16,2196
2022-07-17,2349
2022-07-18,2332
2022-07-19,2149
2022-07-20,2371
2022-07-21,2398
2022-07-22,2474
2022-07-23,2467
2022-07-24,2099
2022-07-25,2163
2022-07-26,2378
2022-07-27,2375
2022-07-28,2373
2022-07-29,2871
2022-07-30,2376
2022-07-31,2458
2022-08-01,2428
2022-08-02,2381
2022-08-03,2233
2022-08-04,2392
2022-08-05,2160
2022-08-06,2238
2022-08-07,2199
2022-08-08,2282
2022-08-09,2615
2022-08-10,1986
2022-08-11,2367
2022-08-12,2020
2022-08-13,2189
2022-08-14,2422
2022-08-15,2266
2022-08-16,2093
2022-08-17,2146
2022-08-18,2354
2022-08-19,2141
2022-08-20,2281
2022-08-21,2255
2022-08-22,2149
2022-08-23,2567
2022-08-24,2339
2022-08-25,1939
2022-08-26,2270
2022-08-27,2142
2022-08-28,2368
2022-08-29,2121
2022-08-30,2222
2022-08-31,2314
2022-09-01,2368
2022-09-02,2058
2022-09-03,2187
2022-09-04,2166
2022-09-05,2139
2022-09-06,2501
2022-09-07,2297
2022-09-08,2047
2022-09-09,2374
2022-09-10,2555
2022-09-11,2392
2022-09-12,2010
2022-09-13,2165
2022-09-14,2429
2022-09-15,2133
2022-09-16,2307
2022-09-17,2357
2022-09-18,2103
2022-09-19,2234
2022-09-20,1758
2022-09-21,2091
2022-09-22,2208
2022-09-23,2060
2022-09-24,2494
2022-09-25,2036
2022-09-26,2186
2022-09-27,2273
2022-09-28,2472
2022-09-29,2042
2022-09-30,2434
2022-10-01,2263
2022-10-02,2116
2022-10-03,2335
2022-10-04,2298
2022-10-05,2180
2022-10-06,2283
2022-10-07,2218
2022-10-08,2295
2022-10-09,2380
2022-10-10,2521
2022-10-11,2101
2022-10-12,2609
2022-10-13,2000
2022-10-14,2273
2022-10-15,2387
2022-10-16,2345
2022-10-17,2212
2022-10-18,2278
2022-10-19,2239
2022-10-20,2228
2022-10-21,2448
2022-10-22,2378
2022-10-23,2224
2022-10-24,2467
2022-10-25,2382
2022-10-26,2462
2022-10-27,2439
2022-10-28,2225
2022-10-29,2270
2022-10-30,2470
2022-10-31,2454
2022-11-01,2364
2022-11-02,2390
2022-11-03,2569
2022-11-04,2293
2022-11-05,2469
2022-11-06,2362
2022-11-07,2364
2022-11-08,2567
2022-11-09,2531
2022-11-10,2535
2022-11-11,2614
2022-11-12,2427
2022-11-13,2531
2022-11-14,2388
2022-11-15,2489
2022-11-16,2427
2022-11-17,2466
2022-11-18,2547
2022-11-19,2341
2022-11-20,2783
2022-11-21,2325
2022-11-22,2299
2022-11-23,2661
2022-11-24,2613
2022-11-25,2594
2022-11-26,2601
2022-11-27,2511
2022-11-28,2385
2022-11-29,2537
2022-11-30,2431
2022-12-01,2685
2022-12-02,2523
2022-12-03,2428
2022-12-04,2510
2022-12-05,2627
2022-12-06,2487
2022-12-07,2455
2022-12-08,2622
2022-12-09,2629
2022-12-10,2523
2022-12-11,2535
2022-12-12,2648
2022-12-13,2403
2022-12-14,2416
2022-12-15,2526
2022-12-16,2609
2022-12-17,2695
2022-12-18,2876
2022-12-19,2791
2022-12-20,2645
2022-12-21,2674
2022-12-22,2533
2022-12-23,2688
2022-12-24,2655
2022-12-25,2754
2022-12-26,2588
2022-12-27,2798
2022-12-28,2957
2022-12-29,2718
2022-12-30,2802
2022-12-31,2852
2023-01-01,2696
2023-01-02,2797
2023-01-03,2772
2023-01-04,2792
2023-01-05,2669
2023-01-06,2795
2023-01-07,2874
2023-01-08,3024
2023-01-09,2957
2023-01-10,3143
2023-01-11,2712
2023-01-12,2966
2023-01-13,2869
2023-01-14,3177
2023-01-15,2735
2023-01-16,2737
2023-01-17,2780
2023-01-18,2558
2023-01-19,2805
2023-01-20,2777
2023-01-21,2920
2023-01-22,2956
2023-01-23,3193
2023-01-24,3061
2023-01-25,2839
2023-01-26,2797
2023-01-27,3012
2023-01-28,2747
2023-01-29,3226
2023-01-30,3135
2023-01-31,2894
2023-02-01,2714
2023-02-02,3181
2023-02-03,2967
2023-02-04,3176
2023-02-05,2758
2023-02-06,2913
2023-02-07,3010
2023-02-08,3022
2023-02-09,2954
2023-02-10,3121
2023-02-11,2873
2023-02-12,3018
2023-02-13,3063
2023-02-14,3128
2023-02-15,3163
2023-02-16,2894
2023-02-17,2838
2023-02-18,3265
2023-02-19,3129
2023-02-20,2972
2023-02-21,3322
2023-02-22,3112
2023-02-23,3277
2023-02-24,3115
2023-02-25,3419
2023-02-26,3378
2023-02-27,3083
2023-02-28,3271
2023-03-01,3226
2023-03-02,3340
2023-03-03,2994
2023-03-04,3246
2023-03-05,3307
2023-03-06,2888
2023-03-07,2979
2023-03-08,2855
2023-03-09,3124
2023-03-10,3276
2023-03-11,3398
2023-03-12,3188
2023-03-13,3425
2023-03-14,2977
2023-03-15,2932
2023-03-16,3183
2023-03-17,3252
2023-03-18,3193
2023-03-19,2891
2023-03-20,3191
2023-03-21,3012
2023-03-22,3311
2023-03-23,3268
2023-03-24,3075
2023-03-25,3142
2023-03-26,3063
2023-03-27,3215
2023-03-28,3370
2023-03-29,3081
2023-03-30,3307
2023-03-31,3154
2023-04-01,3117
2023-04-02,3222
2023-04-03,3084
2023-04-04,3159
2023-04-05,3064
2023-04-06,3540
2023-04-07,3252
2023-04-08,3143
2023-04-09,3282
2023-04-10,3234
2023-04-11,3219
2023-04-12,3345
2023-04-13,3368
2023-04-14,3176
2023-04-15,3170
2023-04-16,3216
2023-04-17,2912
2023-04-18,3031
2023-04-19,3464
2023-04-20,3506
2023-04-21,3222
2023-04-22,3346
2023-04-23,3307
2023-04-24,3722
2023-04-25,3428
2023-04-26,3241
2023-04-27,3117
2023-04-28,3019
2023-04-29,3290
2023-04-30,3146
2023-05-01,3046
2023-05-02,3161
2023-05-03,3096
2023-05-04,3510
2023-05-05,3389
2023-05-06,3254
2023-05-07,3477
2023-05-08,3265
2023-05-09,3124
2023-05-10,3480
2023-05-11,3331
2023-05-12,3094
2023-05-13,3219
2023-05-14,3115
2023-05-15,3038
2023-05-16,3383
2023-05-17,3528
2023-05-18,3031
2023-05-19,3323
2023-05-20,3139
2023-05-21,3162
2023-05-22,3144
2023-05-23,3102
2023-05-24,3237
2023-05-25,3103
2023-05-26,3266
2023-05-27,3216
2023-05-28,3185
2023-05-29,3082
2023-05-30,3130
2023-05-31,3327
2023-06-01,3287
2023-06-02,3063
2023-06-03,3222
2023-06-04,3317
2023-06-05,2951
2023-06-06,3281
2023-06-07,3097
2023-06-08,3279
2023-06-09,3077
2023-06-10,2918
2023-06-11,2941
2023-06-12,3190
2023-06-13,3219
2023-06-14,3041
2023-06-15,3270
2023-06-16,2922
2023-06-17,3158
2023-06-18,2984
2023-06-19,3065
2023-06-20,3166
2023-06-21,3027
2023-06-22,3096
2023-06-23,3301
2023-06-24,3061
2023-06-25,3269
2023-06-26,2972
2023-06-27,3217
2023-06-28,3351
2023-06-29,2761
2023-06-30,3009
2023-07-01,3212
2023-07-02,3092
2023-07-03,3175
2023-07-04,3026
2023-07-05,3126
2023-07-06,3087
2023-07-07,3282
2023-07-08,3142
2023-07-09,3151
2023-07-10,3036
2023-07-11,3022
2023-07-12,3027
2023-07-13,3148
2023-07-14,3023
2023-07-15,3126
2023-07-16,3391
2023-07-17,3207
2023-07-18,3025
2023-07-19,3251
2023-07-20,3007
2023-07-21,2760
2023-07-22,2911
2023-07-23,2779
2023-07-24,3004
2023-07-25,3057
2023-07-26,3303
2023-07-27,3098
2023-07-28,3013
2023-07-29,3168
2023-07-30,2710
2023-07-31,3074
2023-08-01,3152
2023-08-02,2812
2023-08-03,3203
2023-08-04,3080
2023-08-05,2965
2023-08-06,3120
2023-08-07,3363
2023-08-08,3048
2023-08-09,3056
2023-08-10,2948
2023-08-11,2887
2023-08-12,3137
2023-08-13,2883
2023-08-14,3020
2023-08-15,2936
2023-08-16,3078
2023-08-17,3054
2023-08-18,3158
2023-08-19,2925
2023-08-20,2960
2023-08-21,2852
2023-08-22,2931
2023-08-23,3053
2023-08-24,3109
2023-08-25,2856
2023-08-26,3124
2023-08-27,3196
2023-08-28,3054
2023-08-29,3272
2023-08-30,2874
2023-08-31,2803
2023-09-01,2722
2023-09-02,3213
2023-09-03,3086
2023-09-04,2980
2023-09-05,3030
2023-09-06,2819
2023-09-07,3354
2023-09-08,3007
2023-09-09,3004
2023-09-10,3097
2023-09-11,3060
2023-09-12,3022
2023-09-13,2871
2023-09-14,3060
2023-09-15,3273
2023-09-16,3193
2023-09-17,3231
2023-09-18,2916
2023-09-19,2845
2023-09-20,2976
2023-09-21,3004
2023-09-22,3161
2023-09-23,2745
2023-09-24,3229
2023-09-25,2978
