Date,Sales
2022-01-01,1895
2022-01-02,2141
2022-01-03,2239
2022-01-04,2013
2022-01-05,1658
2022-01-06,1976
2022-01-07,1707
2022-01-08,2072
2022-01-09,2428
2022-01-10,2213
2022-01-11,1974
2022-01-12,1813
2022-01-13,2107
2022-01-14,1977
2022-01-15,2179
2022-01-16,2357
2022-01-17,2257
2022-01-18,2146
2022-01-19,1933
2022-01-20,1560
2022-01-21,1815
2022-01-22,2142
2022-01-23,2251
2022-01-24,2967
2022-01-25,2969
2022-01-26,3035
2022-01-27,3198
2022-01-28,3150
2022-01-29,2157
2022-01-30,2096
2022-01-31,2493
2022-02-01,2287
2022-02-02,2226
2022-02-03,2299
2022-02-04,2269
2022-02-05,2233
2022-02-06,2475
2022-02-07,2199
2022-02-08,2385
2022-02-09,2220
2022-02-10,1899
2022-02-11,2347
2022-02-12,2184
2022-02-13,2502
2022-02-14,2382
2022-02-15,2504
2022-02-16,2424
2022-02-17,2048
2022-02-18,1985
2022-02-19,2303
2022-02-20,2563
2022-02-21,2426
2022-02-22,2316
2022-02-23,2345
2022-02-24,1814
2022-02-25,2142
2022-02-26,2163
2022-02-27,2520
2022-02-28,2409
2022-03-01,2280
2022-03-02,2261
2022-03-03,2028
2022-03-04,2265
2022-03-05,2293
2022-03-06,2457
2022-03-07,2443
2022-03-08,2594
2022-03-09,2325
2022-03-10,2336
2022-03-11,2363
2022-03-12,2304
2022-03-13,2617
2022-03-14,2619
2022-03-15,2536
2022-03-16,2310
2022-03-17,2228
2022-03-18,2430
2022-03-19,2746
2022-03-20,2444
2022-03-21,2667
2022-03-22,2463
2022-03-23,2497
2022-03-24,2370
2022-03-25,2488
2022-03-26,2068
2022-03-27,2495
2022-03-28,2472
2022-03-29,2517
2022-03-30,2302
2022-03-31,2235
2022-04-01,2451
2022-04-02,2741
2022-04-03,2198
2022-04-04,2581
2022-04-05,2589
2022-04-06,2417
2022-04-07,2288
2022-04-08,2177
2022-04-09,2354
2022-04-10,2705
2022-04-11,2785
2022-04-12,2567
2022-04-13,2308
2022-04-14,2358
2022-04-15,2340
2022-04-16,2568
2022-04-17,2626
2022-04-18,2552
2022-04-19,2585
2022-04-20,2264
2022-04-21,2463
2022-04-22,2542
2022-04-23,2329
2022-04-24,2671
2022-04-25,2502
2022-04-26,2709
2022-04-27,2555
2022-04-28,2315
2022-04-29,2515
2022-04-30,2432
2022-05-01,2519
2022-05-02,2558
2022-05-03,2536
2022-05-04,2379
2022-05-05,2364
2022-05-06,2285
2022-05-07,2594
2022-05-08,2746
2022-05-09,2561
2022-05-10,2349
2022-05-11,2518
2022-05-12,2494
2022-05-13,2339
2022-05-14,2298
2022-05-15,2631
2022-05-16,2834
2022-05-17,2275
2022-05-18,2473
2022-05-19,2279
2022-05-20,2230
2022-05-21,2535
2022-05-22,2399
2022-05-23,2649
2022-05-24,2708
2022-05-25,2417
2022-05-26,2186
2022-05-27,2086
2022-05-28,2271
2022-05-29,2307
2022-05-30,2816
2022-05-31,2473
2022-06-01,2229
2022-06-02,2110
2022-06-03,2168
2022-06-04,2386
2022-06-05,2368
2022-06-06,2808
2022-06-07,2385
2022-06-08,2247
2022-06-09,2316
2022-06-10,2502
2022-06-11,2598
2022-06-12,2459
2022-06-13,2589
2022-06-14,2490
2022-06-15,2410
2022-06-16,2287
2022-06-17,2145
2022-06-18,2215
2022-06-19,2530
2022-06-20,2366
2022-06-21,2638
2022-06-22,2320
2022-06-23,2086
2022-06-24,2210
2022-06-25,2299
2022-06-26,2465
2022-06-27,2642
2022-06-28,2223
2022-06-29,2030
2022-06-30,2255
2022-07-01,2208
2022-07-02,2370
2022-07-03,2523
2022-07-04,2461
2022-07-05,2514
2022-07-06,2144
2022-07-07,2194
2022-07-08,2094
2022-07-09,2166
2022-07-10,2525
2022-07-11,2544
2022-07-12,2108
2022-07-13,2089
2022-07-14,2203
2022-07-15,2338
2022-07-16,2209
2022-07-17,2391
2022-07-18,2245
2022-07-19,2710
2022-07-20,2292
2022-07-21,2266
2022-07-22,2259
2022-07-23,2412
2022-07-24,2481
2022-07-25,2375
2022-07-26,2442
2022-07-27,2216
2022-07-28,2303
2022-07-29,2044
2022-07-30,2186
2022-07-31,2469
2022-08-01,2582
2022-08-02,2340
2022-08-03,2087
2022-08-04,2086
2022-08-05,2060
2022-08-06,2510
2022-08-07,2485
2022-08-08,2563
2022-08-09,2345
2022-08-10,2093
2022-08-11,2252
2022-08-12,2346
2022-08-13,2311
2022-08-14,2342
2022-08-15,2524
2022-08-16,2237
2022-08-17,2265
2022-08-18,1975
2022-08-19,1966
2022-08-20,2297
2022-08-21,2381
2022-08-22,2628
2022-08-23,2240
2022-08-24,2151
2022-08-25,1905
2022-08-26,1831
2022-08-27,1960
2022-08-28,2390
2022-08-29,2189
2022-08-30,2429
2022-08-31,2340
2022-09-01,2019
2022-09-02,2319
2022-09-03,2236
2022-09-04,2478
2022-09-05,2318
2022-09-06,2402
2022-09-07,2006
2022-09-08,2144
2022-09-09,2021
2022-09-10,2185
2022-09-11,2409
2022-09-12,2374
2022-09-13,2258
2022-09-14,2241
2022-09-15,2171
2022-09-16,1894
2022-09-17,2284
2022-09-18,2418
2022-09-19,2248
2022-09-20,2327
2022-09-21,1959
2022-09-22,2266
2022-09-23,2061
2022-09-24,2202
2022-09-25,2499
2022-09-26,2342
2022-09-27,2366
2022-09-28,2007
2022-09-29,1995
2022-09-30,1910
2022-10-01,2195
2022-10-02,2488
2022-10-03,2406
2022-10-04,2419
2022-10-05,2024
2022-10-06,1965
2022-10-07,2055
2022-10-08,2320
2022-10-09,2410
2022-10-10,2389
2022-10-11,2400
