Date,Sales
2023-01-01,3676
2023-01-02,3388
2023-01-03,3437
2023-01-04,3713
2023-01-05,3558
2023-01-06,3446
2023-01-07,2629
2023-01-08,3253
2023-01-09,2741
2023-01-10,3656
2023-01-11,3400
2023-01-12,3225
2023-01-13,3075
2023-01-14,3430
2023-01-15,3235
2023-01-16,3683
2023-01-17,3616
2023-01-18,3464
2023-01-19,3314
2023-01-20,3128
2023-01-21,2901
2023-01-22,3455
2023-01-23,3611
2023-01-24,3461
2023-01-25,3544
2023-01-26,3407
2023-01-27,2819
2023-01-28,3108
2023-01-29,3198
2023-01-30,3252
2023-01-31,3560
2023-02-01,3195
2023-02-02,3111
2023-02-03,3152
2023-02-04,3213
2023-02-05,3362
2023-02-06,3939
2023-02-07,3374
2023-02-08,3431
2023-02-09,2937
2023-02-10,3199
2023-02-11,3385
2023-02-12,3554
2023-02-13,3302
2023-02-14,3419
2023-02-15,3649
2023-02-16,3176
2023-02-17,3298
2023-02-18,2911
2023-02-19,3585
2023-02-20,3662
2023-02-21,3576
2023-02-22,3188
2023-02-23,3154
2023-02-24,3113
2023-02-25,3176
2023-02-26,3250
2023-02-27,3380
2023-02-28,3508
2023-03-01,3663
2023-03-02,2739
2023-03-03,2769
2023-03-04,2769
2023-03-05,3112
2023-03-06,3035
2023-03-07,3577
2023-03-08,3367
2023-03-09,3115
2023-03-10,2911
2023-03-11,3132
2023-03-12,3291
2023-03-13,3479
2023-03-14,3283
2023-03-15,3476
2023-03-16,2835
2023-03-17,3323
2023-03-18,2408
2023-03-19,3108
2023-03-20,3129
2023-03-21,3604
2023-03-22,2993
2023-03-23,3545
2023-03-24,2694
2023-03-25,3516
2023-03-26,3322
2023-03-27,3385
2023-03-28,3510
2023-03-29,3786
2023-03-30,3324
2023-03-31,2525
2023-04-01,3316
2023-04-02,3258
2023-04-03,3005
2023-04-04,3564
2023-04-05,3019
2023-04-06,3149
2023-04-07,3049
2023-04-09,3330
2023-04-10,3116
2023-04-11,3419
2023-04-12,3145
2023-04-13,3049
2023-04-14,3401
2023-04-15,3038
2023-04-16,2927
2023-04-17,3294
2023-04-18,3186
2023-04-19,3249
2023-04-20,3102
2023-04-21,2974
2023-04-22,3009
2023-04-23,3023
2023-04-25,3564
2023-04-26,3083
2023-04-27,3029
2023-04-28,2944
2023-04-29,3241
2023-04-30,3356
2023-05-01,3110
2023-05-02,3321
2023-05-03,2865
2023-05-04,2804
2023-05-05,2907
2023-05-06,3077
2023-05-07,3301
2023-05-08,3175
2023-05-09,2981
2023-05-10,3253
2023-05-11,2950
2023-05-12,2969
2023-05-13,2946
2023-05-14,3220
2023-05-15,3359
2023-05-16,3435
2023-05-17,3036
2023-05-18,3178
2023-05-19,2736
2023-05-20,2899
2023-05-21,3442
2023-05-22,3263
2023-05-23,2962
2023-05-24,3434
2023-05-25,3148
2023-05-26,3066
2023-05-27,2893
2023-05-28,3078
2023-05-29,3102
2023-05-30,3033
2023-05-31,3411
2023-06-01,2815
2023-06-02,2678
2023-06-04,3379
2023-06-05,3314
2023-06-06,3074
2023-06-07,3031
2023-06-08,2975
2023-06-09,2943
2023-06-10,2430
2023-06-11,3134
2023-06-12,3039
2023-06-13,2970
2023-06-14,2922
2023-06-16,3103
2023-06-17,2783
2023-06-18,3024
2023-06-19,2874
2023-06-20,3195
2023-06-21,3154
2023-06-22,2468
2023-06-23,2569
2023-06-24,2889
2023-06-25,2480
2023-06-26,2936
2023-06-27,3184
2023-06-28,2567
2023-06-29,2673
2023-06-30,2659
2023-07-01,2877
2023-07-02,2551
2023-07-03,3228
2023-07-04,3084
2023-07-05,3167
2023-07-06,2981
2023-07-07,2687
2023-07-08,2753
2023-07-09,2415
2023-07-11,2761
2023-07-12,2793
2023-07-13,2896
2023-07-15,2541
2023-07-16,2472
2023-07-17,2572
2023-07-18,3273
2023-07-19,2857
2023-07-20,3016
2023-07-21,2804
2023-07-22,2375
2023-07-23,2321
2023-07-24,3336
2023-07-25,2825
2023-07-26,2549
2023-07-27,2775
2023-07-28,2540
2023-07-29,2396
2023-07-30,2619
2023-08-01,2897
2023-08-02,2935
2023-08-03,2512
2023-08-04,2402
2023-08-05,2644
2023-08-06,2732
2023-08-07,3056
2023-08-08,2794
2023-08-09,2715
2023-08-10,2304
2023-08-11,2776
2023-08-13,2677
2023-08-14,2588
2023-08-15,2893
2023-08-16,2870
2023-08-17,2167
2023-08-18,2369
2023-08-19,2064
2023-08-20,2911
2023-08-21,2657
2023-08-22,2442
2023-08-23,2522
2023-08-24,2788
2023-08-25,2714
2023-08-26,2701
2023-08-27,2401
2023-08-28,2693
2023-08-29,3121
2023-08-30,2488
2023-08-31,2398
2023-09-01,2150
2023-09-02,2139
2023-09-03,2813
2023-09-04,2839
2023-09-05,2834
2023-09-06,2751
2023-09-07,2671
2023-09-08,2667
2023-09-09,2368
2023-09-10,2448
2023-09-12,2949
2023-09-13,2486
2023-09-14,2094
2023-09-15,2252
2023-09-16,2352
2023-09-17,2683
2023-09-18,2874
2023-09-19,2528
2023-09-20,2401
2023-09-21,2329
2023-09-22,2023
2023-09-23,2301
2023-09-24,2580
2023-09-25,2642
2023-09-26,2313
2023-09-27,2295
2023-09-28,2664
2023-09-29,2047
2023-09-30,2469
2023-10-01,2599
2023-10-02,2543
2023-10-03,2431
2023-10-05,2168
2023-10-06,2214
2023-10-07,2312
2023-10-08,2285
2023-10-09,2547
2023-10-10,2566
2023-10-11,2252
2023-10-12,2306
2023-10-13,2097
2023-10-14,1873
2023-10-15,2354
2023-10-16,2520
2023-10-17,2486
2023-10-19,2505
2023-10-20,2374
2023-10-21,2404
2023-10-22,2487
2023-10-23,2294
2023-10-24,2634
2023-10-25,2293
2023-10-26,2803
2023-10-27,2098
2023-10-28,2396
2023-10-29,2063
2023-10-30,2300
2023-10-31,2479
2023-11-01,2642
2023-11-02,2433
2023-11-04,1832
2023-11-05,2644
2023-11-06,2347
2023-11-07,2943
2023-11-08,2889
2023-11-09,2486
2023-11-10,2412
2023-11-11,1955
2023-11-12,2956
2023-11-13,2591
2023-11-14,2801
2023-11-15,2283
2023-11-16,2283
2023-11-17,1927
2023-11-18,2173
2023-11-19,2385
2023-11-20,2594
2023-11-21,2882
2023-11-22,2572
2023-11-23,2346
2023-11-24,2192
2023-11-25,2664
2023-11-26,2250
2023-11-27,2794
2023-11-28,2139
2023-11-29,2269
2023-12-01,2144
2023-12-02,2879
2023-12-03,2941
2023-12-04,2195
2023-12-05,2332
2023-12-06,2428
2023-12-07,2668
2023-12-08,2427
2023-12-09,2287
2023-12-10,2060
2023-12-11,2341
2023-12-12,1975
2023-12-13,2119
2023-12-14,2377
2023-12-15,2349
2023-12-16,1927
2023-12-17,2394
2023-12-18,2884
2023-12-19,2601
2023-12-20,2389
2023-12-21,2417
2023-12-22,2290
2023-12-23,2230
2023-12-24,2251
2023-12-25,2432
2023-12-26,2583
2023-12-27,2334
2023-12-28,2575
2023-12-29,2370
2023-12-30,2451
2023-12-31,2814
2024-01-01,2871
2024-01-02,2874
2024-01-03,2536
2024-01-04,2238
2024-01-05,2678
2024-01-06,2062
2024-01-07,2230
2024-01-08,2331
2024-01-09,2609
2024-01-10,2545
2024-01-11,2506
2024-01-13,1827
2024-01-14,2435
2024-01-15,2735
2024-01-16,2567
2024-01-17,2422
2024-01-18,2401
2024-01-19,2484
2024-01-20,2193
2024-01-21,2051
2024-01-22,2395
2024-01-23,2521
2024-01-24,2053
2024-01-25,2444
2024-01-26,1997
2024-01-27,2316
2024-01-28,2403
2024-01-29,2448
2024-01-30,2913
2024-01-31,2322
2024-02-01,2124
2024-02-02,2227
2024-02-03,2386
2024-02-04,2356
2024-02-05,2296
2024-02-06,2702
2024-02-07,2574
2024-02-08,2724
2024-02-09,2110
2024-02-10,2243
2024-02-11,2227
2024-02-12,2180
2024-02-13,2562
2024-02-14,2623
2024-02-15,2039
2024-02-16,2004
2024-02-18,2641
2024-02-19,2362
2024-02-20,2666
2024-02-21,2239
2024-02-22,2271
2024-02-23,2008
2024-02-24,1666
