Date,Sales
2023-01-01,2004
2023-01-02,1953
2023-01-03,2067
2023-01-04,1975
2023-01-05,1610
2023-01-06,1569
2023-01-07,1623
2023-01-08,1620
2023-01-09,2160
2023-01-10,2164
2023-01-11,1880
2023-01-12,1713
2023-01-13,1658
2023-01-14,1620
2023-01-15,1830
2023-01-16,1892
2023-01-17,2187
2023-01-18,1999
2023-01-19,1795
2023-01-20,1443
2023-01-21,1878
2023-01-22,1906
2023-01-23,2048
2023-01-24,2392
2023-01-25,2007
2023-01-26,1616
2023-01-27,1605
2023-01-28,1433
2023-01-29,2041
2023-01-30,2072
2023-01-31,2087
2023-02-01,2169
2023-02-02,1620
2023-02-03,1746
2023-02-04,1488
2023-02-05,1863
2023-02-06,2005
2023-02-07,2379
2023-02-08,2279
2023-02-09,1806
2023-02-10,1809
2023-02-11,1741
2023-02-12,2038
2023-02-13,2086
2023-02-14,2025
2023-02-15,1877
2023-02-16,1917
2023-02-17,2004
2023-02-18,1821
2023-02-19,1932
2023-02-20,2432
2023-02-21,2284
2023-02-22,2131
2023-02-23,1927
2023-02-24,1744
2023-02-25,1776
2023-02-26,1848
2023-02-27,2287
2023-02-28,2269
2023-03-01,2287
2023-03-02,1877
2023-03-03,1555
2023-03-04,1826
2023-03-05,2248
2023-03-06,2205
2023-03-07,2198
2023-03-08,2024
2023-03-09,1819
2023-03-10,1772
2023-03-11,1719
2023-03-12,2247
2023-03-13,2240
2023-03-14,2340
2023-03-15,2362
2023-03-16,2148
2023-03-17,1804
2023-03-18,1923
2023-03-19,2178
2023-03-20,2273
2023-03-21,2136
2023-03-22,2290
2023-03-23,2096
2023-03-24,1901
2023-03-25,1793
2023-03-26,2087
2023-03-27,2246
2023-03-28,2334
2023-03-29,2387
2023-03-30,2192
2023-03-31,1951
2023-04-01,1990
2023-04-02,2211
2023-04-03,2335
2023-04-04,2380
2023-04-05,2170
2023-04-06,2021
2023-04-07,2161
2023-04-08,2047
2023-04-09,2107
2023-04-10,2298
2023-04-11,2303
2023-04-12,2314
2023-04-13,2093
